Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,870.0,908.9000244140625,867.0,887.4000244140625,973907,0,0
2021-08-18,894.6500244140625,903.9000244140625,878.6500244140625,900.75,477749,0,0
2021-08-20,881.75,915.0,871.75,897.2000122070312,879721,0,0
2021-08-23,899.5,901.75,866.1500244140625,884.2000122070312,710233,0,0
2021-08-24,888.7000122070312,903.0,876.2000122070312,900.75,512709,0,0
2021-08-25,902.7000122070312,922.5499877929688,890.3499755859375,916.75,761172,0,0
2021-08-26,920.0,964.1500244140625,919.9500122070312,941.3499755859375,3121784,0,0
2021-08-27,945.7000122070312,958.0,940.0,948.5,638508,0,0
2021-08-30,955.0,1007.0,951.0,991.2999877929688,1981330,0,0
2021-08-31,995.0,1014.9500122070312,976.0,1006.9000244140625,968660,0,0
2021-09-01,1004.4500122070312,1036.699951171875,988.2000122070312,994.4000244140625,861143,0,0
2021-09-02,999.4000244140625,1013.6500244140625,985.5499877929688,1000.5,600794,0,0
2021-09-03,1008.9000244140625,1017.6500244140625,984.1500244140625,995.7000122070312,454344,0,0
2021-09-06,1000.0999755859375,1023.9000244140625,995.7000122070312,1009.9000244140625,646921,0,0
2021-09-07,1009.7999877929688,1021.9500122070312,993.25,999.0,597743,0,0
2021-09-08,1001.0,1050.0,995.0,1033.8499755859375,2226426,0,0
2021-09-09,1038.550048828125,1045.3499755859375,1010.2999877929688,1022.5499877929688,1228907,0,0
2021-09-13,1014.0,1027.699951171875,998.25,1006.0999755859375,448685,0,0
2021-09-14,1009.9500122070312,1023.75,1000.0499877929688,1004.0,529047,0,0
2021-09-15,1005.75,1010.0,987.0,1001.75,635701,0,0
2021-09-16,1009.5,1010.4500122070312,990.1500244140625,995.75,286275,0,0
2021-09-17,1000.0,1000.0,964.0,982.4500122070312,562721,0,0
